ID,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
1,128,Renew,1,2.7,1,265.1,110,89,9.87,13.7,Tidak
2,107,Renew,1,3.7,1,161.6,123,82,9.78,13.7,Tidak
3,137,Renew,0,0,0,243.4,114,52,6.06,12.2,Tidak
4,84,NotRenew,0,0,2,299.4,71,57,3.1,6.6,Tidak
5,75,NotRenew,0,0,3,166.7,113,41,7.42,10.1,Tidak
6,118,NotRenew,0,0,0,223.4,98,57,11.03,6.3,Tidak
7,121,Renew,1,2.03,3,218.2,88,87.3,17.43,7.5,Tidak
8,147,NotRenew,0,0,0,157,79,36,5.16,7.1,Tidak
9,117,Renew,0,0.19,1,184.5,97,63.9,17.58,8.7,Tidak
10,141,NotRenew,1,3.02,0,258.6,84,93.2,11.1,11.2,Tidak
11,65,Renew,0,0.29,4,129.1,137,44.9,11.43,12.7,Ya
12,74,Renew,0,0.34,0,187.7,127,49.4,8.17,9.1,Tidak
13,168,Renew,0,0,1,128.8,96,31,nan,11.2,Tidak Tahu
14,95,Renew,0,0.44,3,156.6,88,52.4,nan,12.3,Tidak
15,62,Renew,0,0,4,120.7,70,47,nan,13.1,Tidak
16,161,Renew,0,0,4,332.9,67,84,----,5.4,Ya
17,85,Renew,1,3.73,1,196.4,139,95.3,nan,13.8,Tidak
18,93,Renew,0,0,3,190.7,114,51,----,8.1,Tidak
19,76,Renew,1,2.7,1,189.7,66,78,nan,10,Tidak
20,73,Renew,0,0,1,224.4,90,52,nan,13,Tidak
21,147,Renew,0,0.31,0,155.1,117,50.1,nan,10.6,Tidak
22,77,Renew,0,0,5,62.4,89,26,nan,5.7,Ya
23,130,Renew,0,0,0,183,112,38,nan,9.5,Tidak
24,111,Renew,0,0.39,2,110.4,103,34.9,6.87,7.7,Tidak
25,132,Renew,0,0,0,81.1,86,35,12.26,10.3,Tidak
26,174,Renew,0,0,3,124.3,76,45,13.86,15.5,Tidak
27,57,Renew,1,2.57,0,213,115,78.7,9.56,9.5,Tidak
28,54,Renew,0,0,3,134.3,73,37,7.78,14.7,Tidak
29,20,Renew,0,0.32,0,190,109,58.2,12.91,6.3,Tidak
30,49,Renew,0,0.21,1,119.3,117,41.1,10.76,11.1,Tidak
31,142,Renew,0,0,2,84.8,95,27,6.84,14.2,Tidak
32,75,Renew,0,0,1,226.1,105,56,10.08,----,Tidak
